"fullname","username","phone","tgl_lahir","nip","position"
"John Doe","johndoe","1234567890","1990-01-01","123456789","Manager"
"Jane Smith","janesmith","0987654321","1985-05-10","987654321","Assistant"
"Alice Johnson","alicejohnson","5555555555","1995-12-25","555555555","Supervisor"
"Michael Brown","mbrown","9876543210","1988-07-15","9876543210","Developer"
"Samantha Lee","slee","5556667777","1992-03-20","555666777","Analyst"
"David Williams","dwilliams","1231231234","1991-11-30","123123123","Manager"
"Emily Wilson","ewilson","9998887776","1994-09-05","999888777","Assistant"
"Daniel Taylor","dtaylor","4443332221","1987-06-25","444333222","Supervisor"
"Jennifer Davis","jdavis","7777777777","1993-04-12","777777777","Developer"
"Matthew Anderson","manderson","1112223334","1996-02-18","111222333","Analyst"
"Amanda Thomas","athomas","6665554443","1990-12-05","666555444","Manager"
"Christopher Martinez","cmartinez","2223334445","1986-08-22","222333444","Assistant"
"Olivia Johnson","ojohnson","8887776662","1995-06-08","888777666","Supervisor"
"Ryan Rodriguez","rrodriguez","7776665551","1989-04-01","777666555","Developer"
"Emma Thompson","ethompson","5554443330","1992-01-28","555444333","Analyst"
"Joshua Garcia","jgarcia","4445556666","1993-09-15","444555666","Manager"
"Sophia Wilson","swilson","9998887777","1987-07-23","999888777","Assistant"
"Andrew Davis","adavis","3332221112","1991-05-11","333222111","Supervisor"
"Isabella Taylor","itaylor","6667778889","1994-03-26","666777888","Developer"
"William Clark","wclark","1112223337","1988-11-19","111222333","Analyst"
"John Doe","johndoe","1234567890","1990-01-01","123456789","Manager"
"Jane Smith","janesmith","0987654321","1985-05-10","987654321","Assistant"
"Alice Johnson","alicejohnson","5555555555","1995-12-25","555555555","Supervisor"
"Michael Brown","mbrown","9876543210","1988-07-15","9876543210","Developer"
"Samantha Lee","slee","5556667777","1992-03-20","555666777","Analyst"
"David Williams","dwilliams","1231231234","1991-11-30","123123123","Manager"
"Emily Wilson","ewilson","9998887776","1994-09-05","999888777","Assistant"
"Daniel Taylor","dtaylor","4443332221","1987-06-25","444333222","Supervisor"
"Jennifer Davis","jdavis","7777777777","1993-04-12","777777777","Developer"
"Matthew Anderson","manderson","1112223334","1996-02-18","111222333","Analyst"
"Amanda Thomas","athomas","6665554443","1990-12-05","666555444","Manager"
"Christopher Martinez","cmartinez","2223334445","1986-08-22","222333444","Assistant"
"Olivia Johnson","ojohnson","8887776662","1995-06-08","888777666","Supervisor"
"Ryan Rodriguez","rrodriguez","7776665551","1989-04-01","777666555","Developer"
"Emma Thompson","ethompson","5554443330","1992-01-28","555444333","Analyst"
"Joshua Garcia","jgarcia","4445556666","1993-09-15","444555666","Manager"
"Sophia Wilson","swilson","9998887777","1987-07-23","999888777","Assistant"
"Andrew Davis","adavis","3332221112","1991-05-11","333222111","Supervisor"
"Isabella Taylor","itaylor","6667778889","1994-03-26","666777888","Developer"
"William Clark","wclark","1112223337","1988-11-19","111222333","Analyst"
"John Doe","johndoe","1234567890","1990-01-01","123456789","Manager"
"Jane Smith","janesmith","0987654321","1985-05-10","987654321","Assistant"
"Alice Johnson","alicejohnson","5555555555","1995-12-25","555555555","Supervisor"
"Michael Brown","mbrown","9876543210","1988-07-15","9876543210","Developer"
"Samantha Lee","slee","5556667777","1992-03-20","555666777","Analyst"
"David Williams","dwilliams","1231231234","1991-11-30","123123123","Manager"
"Emily Wilson","ewilson","9998887776","1994-09-05","999888777","Assistant"
"Daniel Taylor","dtaylor","4443332221","1987-06-25","444333222","Supervisor"
"Jennifer Davis","jdavis","7777777777","1993-04-12","777777777","Developer"
"Matthew Anderson","manderson","1112223334","1996-02-18","111222333","Analyst"
"Amanda Thomas","athomas","6665554443","1990-12-05","666555444","Manager"
"Christopher Martinez","cmartinez","2223334445","1986-08-22","222333444","Assistant"
"Olivia Johnson","ojohnson","8887776662","1995-06-08","888777666","Supervisor"
"Ryan Rodriguez","rrodriguez","7776665551","1989-04-01","777666555","Developer"
"Emma Thompson","ethompson","5554443330","1992-01-28","555444333","Analyst"
"Joshua Garcia","jgarcia","4445556666","1993-09-15","444555666","Manager"
"Sophia Wilson","swilson","9998887777","1987-07-23","999888777","Assistant"
"Andrew Davis","adavis","3332221112","1991-05-11","333222111","Supervisor"
"Isabella Taylor","itaylor","6667778889","1994-03-26","666777888","Developer"
"William Clark","wclark","1112223337","1988-11-19","111222333","Analyst"
"John Doe","johndoe","1234567890","1990-01-01","123456789","Manager"
"Jane Smith","janesmith","0987654321","1985-05-10","987654321","Assistant"
"Alice Johnson","alicejohnson","5555555555","1995-12-25","555555555","Supervisor"
"Michael Brown","mbrown","9876543210","1988-07-15","9876543210","Developer"
"Samantha Lee","slee","5556667777","1992-03-20","555666777","Analyst"
"David Williams","dwilliams","1231231234","1991-11-30","123123123","Manager"
"Emily Wilson","ewilson","9998887776","1994-09-05","999888777","Assistant"
"Daniel Taylor","dtaylor","4443332221","1987-06-25","444333222","Supervisor"
"Jennifer Davis","jdavis","7777777777","1993-04-12","777777777","Developer"
"Matthew Anderson","manderson","1112223334","1996-02-18","111222333","Analyst"
"Amanda Thomas","athomas","6665554443","1990-12-05","666555444","Manager"
"Christopher Martinez","cmartinez","2223334445","1986-08-22","222333444","Assistant"
"Olivia Johnson","ojohnson","8887776662","1995-06-08","888777666","Supervisor"
"Ryan Rodriguez","rrodriguez","7776665551","1989-04-01","777666555","Developer"
"Emma Thompson","ethompson","5554443330","1992-01-28","555444333","Analyst"
"Joshua Garcia","jgarcia","4445556666","1993-09-15","444555666","Manager"
"Sophia Wilson","swilson","9998887777","1987-07-23","999888777","Assistant"
"Andrew Davis","adavis","3332221112","1991-05-11","333222111","Supervisor"
"Isabella Taylor","itaylor","6667778889","1994-03-26","666777888","Developer"
"William Clark","wclark","1112223337","1988-11-19","111222333","Analyst"
"John Doe","johndoe","1234567890","1990-01-01","123456789","Manager"
